JUDGE,PANEL_ID,DIELEC_FIRE_TEMP_KEEP_CH01,DIELEC_FIRE_TEMP_ANEAL_CH01,DIELEC_FIRE_TEMP_ANEAL_CH02,DIELEC_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_EXHAUST_HEAT1,DIELEC_FIRE_EXHAUST_HEAT2,DIELEC_FIRE_EXHAUST_HEAT3,DIELEC_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_EXHAUST_HEAT5,DIELEC_FIRE_EXHAUST_HEAT6,DIELEC_FIRE_EXHAUST_HEAT7
양품,PNL-18,573,572,555,535,2159,2192,2328,3266,4288,3104,2882
양품,PNL-19,569,572,553,535,2012,2207,3631,3422,3277,3314,3140
양품,PNL-20,573,573,558,537,2156,2128,2328,3243,3919,3086,2960
양품,PNL-01,573,573,558,536,2169,2137,2281,3334,4438,3032,2912
양품,PNL-02,575,577,557,534,2139,2169,2326,3258,3936,3035,2964
양품,PNL-03,568,569,552,533,2019,2169,3212,3447,3343,3377,3123
양품,PNL-04,566,571,553,534,2028,2152,3238,3446,3329,3189,3526
양품,PNL-05,575,572,559,537,2132,2219,2319,3342,3924,3102,2973
양품,PNL-06,572,573,557,537,2150,2187,2347,3321,3898,3095,2907
양품,PNL-07,569,570,551,534,2030,2347,3259,3517,3341,3237,3469
양품,PNL-08,575,578,560,537,2146,2166,2330,3256,3898,3076,2898
양품,PNL-09,573,571,551,533,2022,2312,3251,3399,3320,3157,3148
양품,PNL-10,570,573,553,532,2035,2220,3250,3458,3673,3133,3140
양품,PNL-11,573,573,557,536,2111,2127,2330,3248,3917,3079,3154
양품,PNL-12,569,570,551,534,2030,2347,3259,3517,3341,3237,3469
양품,PNL-13,575,575,555,531,2164,2190,2351,3329,3908,3093,2891
양품,PNL-14,573,572,555,535,2143,2174,2334,3262,4006,3027,2884
양품,PNL-15,573,576,559,537,2164,2141,2309,3253,3910,3051,2919
양품,PNL-16,573,575,560,538,2104,2148,2291,3283,3826,3043,2860
양품,PNL-17,576,570,544,527,2034,2188,3165,4034,3389,3194,3139
양품,PNL-18,571,570,551,535,1992,2176,3195,3689,3218,3170,3095
양품,PNL-19,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-20,572,569,551,531,2002,2193,3242,3511,3272,3196,3171
양품,PNL-01,569,570,551,535,2017,2215,3251,3545,3276,3140,3156
양품,PNL-02,575,574,550,531,1933,2110,3060,3145,3529,2932,3042
양품,PNL-03,570,575,552,531,2035,2164,3322,3425,3324,3121,3189
양품,PNL-04,569,570,552,533,2084,2157,3187,3514,3336,3222,3184
양품,PNL-05,572,573,551,531,1999,2209,3163,3459,3316,3125,3217
양품,PNL-06,572,573,551,533,2011,2222,3237,3442,3364,3204,3225
양품,PNL-07,566,575,553,535,2034,2200,3285,3507,3337,3199,3153
양품,PNL-08,572,576,559,539,2116,2220,2336,3262,3896,3052,2968
양품,PNL-09,572,574,559,538,2142,2142,2261,3297,3812,3019,2917
명점,PNL-10,568,574,554,535,2013,2193,3236,3448,3248,3149,3601
양품,PNL-11,574,571,547,528,1930,2055,2960,3282,3655,3246,3001
양품,PNL-12,572,572,559,537,2117,2149,2317,3290,3905,3067,2885
양품,PNL-13,572,576,559,539,2116,2220,2336,3262,3896,3052,2968
양품,PNL-14,568,572,549,530,2031,2152,3164,3448,3348,3317,3186
