JUDGE,DIELEC_FIRE_TEMP_KEEP_CH01,DIELEC_FIRE_TEMP_ANEAL_CH01,DIELEC_FIRE_TEMP_ANEAL_CH02,DIELEC_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_EXHAUST_HEAT1,DIELEC_FIRE_EXHAUST_HEAT2,DIELEC_FIRE_EXHAUST_HEAT3,DIELEC_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_EXHAUST_HEAT5,DIELEC_FIRE_EXHAUST_HEAT6,DIELEC_FIRE_EXHAUST_HEAT7
양품,572.0,571.0,554.0,534.0,2022.0,2151.0,3156.0,3429.0,3333.0,3177.0,3158.0
양품,573.0,573.0,558.0,538.0,2131.0,2150.0,2256.0,3323.0,3781.0,3441.0,2853.0
양품,573.0,572.0,558.0,534.0,2114.0,2172.0,2264.0,3382.0,3831.0,3002.0,2941.0
양품,569.0,574.0,552.0,533.0,2023.0,2253.0,3242.0,3538.0,3365.0,3210.0,3144.0
양품,571.0,572.0,558.0,537.0,2146.0,2124.0,2285.0,3258.0,3902.0,3075.0,2882.0
명점,574.0,573.0,560.0,534.0,2154.0,2349.0,2285.0,3323.0,3776.0,3093.0,2902.0
양품,571.0,576.0,555.0,534.0,2159.0,2199.0,2315.0,3252.0,3902.0,3035.0,3322.0
양품,574.0,576.0,553.0,532.0,2114.0,2163.0,2328.0,3372.0,3896.0,3125.0,2961.0
양품,575.0,574.0,557.0,534.0,2145.0,2170.0,2321.0,3380.0,3822.0,3048.0,2895.0
양품,572.0,575.0,556.0,533.0,2317.0,2154.0,2537.0,3283.0,3898.0,3063.0,2904.0
양품,573.0,576.0,560.0,538.0,2142.0,2117.0,2272.0,3214.0,3783.0,3434.0,2928.0
양품,575.0,575.0,559.0,535.0,2115.0,2133.0,2299.0,3318.0,3801.0,3099.0,2977.0
양품,568.0,574.0,550.0,531.0,2017.0,2204.0,3228.0,3563.0,3355.0,3205.0,3149.0
양품,575.0,577.0,555.0,534.0,2294.0,2118.0,2276.0,3234.0,3824.0,3017.0,2921.0
양품,576.0,572.0,555.0,534.0,2104.0,2185.0,2369.0,3280.0,3850.0,3037.0,2886.0
양품,573.0,573.0,557.0,536.0,2111.0,2127.0,2330.0,3248.0,3917.0,3079.0,3154.0
양품,572.0,575.0,559.0,536.0,2158.0,2135.0,2284.0,3358.0,3867.0,3033.0,2959.0
양품,571.0,575.0,550.0,533.0,2040.0,2162.0,3159.0,3589.0,3289.0,3121.0,3138.0
양품,575.0,575.0,556.0,533.0,2149.0,2127.0,2277.0,3227.0,4177.0,3019.0,2964.0
양품,570.0,571.0,551.0,535.0,1995.0,2179.0,3183.0,3399.0,3303.0,3338.0,3120.0
양품,570.0,575.0,553.0,534.0,2051.0,2183.0,3267.0,3412.0,3342.0,3195.0,3193.0
양품,573.0,572.0,555.0,535.0,2159.0,2192.0,2328.0,3266.0,4288.0,3104.0,2882.0
양품,569.0,572.0,553.0,535.0,2012.0,2207.0,3631.0,3422.0,3277.0,3314.0,3140.0
양품,573.0,573.0,558.0,537.0,2156.0,2128.0,2328.0,3243.0,3919.0,3086.0,2960.0
양품,573.0,573.0,558.0,536.0,2169.0,2137.0,2281.0,3334.0,4438.0,3032.0,2912.0
양품,575.0,577.0,557.0,534.0,2139.0,2169.0,2326.0,3258.0,3936.0,3035.0,2964.0
양품,568.0,569.0,552.0,533.0,2019.0,2169.0,3212.0,3447.0,3343.0,3377.0,3123.0
양품,566.0,571.0,553.0,534.0,2028.0,2152.0,3238.0,3446.0,3329.0,3189.0,3526.0
양품,575.0,572.0,559.0,537.0,2132.0,2219.0,2319.0,3342.0,3924.0,3102.0,2973.0
양품,572.0,573.0,557.0,537.0,2150.0,2187.0,2347.0,3321.0,3898.0,3095.0,2907.0
양품,569.0,570.0,551.0,534.0,2030.0,2347.0,3259.0,3517.0,3341.0,3237.0,3469.0
양품,575.0,578.0,560.0,537.0,2146.0,2166.0,2330.0,3256.0,3898.0,3076.0,2898.0
양품,573.0,571.0,551.0,533.0,2022.0,2312.0,3251.0,3399.0,3320.0,3157.0,3148.0
양품,570.0,573.0,553.0,532.0,2035.0,2220.0,3250.0,3458.0,3673.0,3133.0,3140.0
양품,573.0,573.0,557.0,536.0,2111.0,2127.0,2330.0,3248.0,3917.0,3079.0,3154.0
양품,569.0,570.0,551.0,534.0,2030.0,2347.0,3259.0,3517.0,3341.0,3237.0,3469.0
양품,575.0,575.0,555.0,531.0,2164.0,2190.0,2351.0,3329.0,3908.0,3093.0,2891.0
양품,573.0,572.0,555.0,535.0,2143.0,2174.0,2334.0,3262.0,4006.0,3027.0,2884.0
