JUDGE,BLACK_RTD_TEMP_GLASS_START,BLACK_RTD_TEMP_GLASS_END,BLACK_RTD_TEMP_WALL_START,BLACK_RTD_TEMP_WALL_MAX,BLACK_RTD_PRES_START,BLACK_RTD_PRES_END,BLACK_RTD_TEMP_GLASS_OUT,BLACK_RTD_TEMP_HOOD_START,BLACK_RTD_TEMP_HOOD_MAX,AG_RTD_TEMP_GLASS_START,AG_RTD_TEMP_GLASS_END,AG_RTD_TEMP_WALL_START,AG_RTD_TEMP_WALL_MAX,AG_RTD_PRES_START,AG_RTD_PRES_END,AG_RTD_TEMP_GLASS_OUT,AG_RTD_TEMP_HOOD_START,AG_RTD_TEMP_HOOD_MAX,AG_EXPOSURE_TEMP_MASK,BUS_DEVELOP_TEMP_OVEN1,BUS_DEVELOP_TEMP_OVEN2,BUS_DEVELOP_TEMP_OVEN3,BUS_DEVELOP_TEMP_TANK1,BUS_DEVELOP_TEMP_TANK2,BUS_DEVELOP_TEMP_TANK3,BUS_DEVELOP_PRES2,BUS_DEVELOP_PRES3,BUS_FIRE_TEMP_KEEP_CH01,BUS_FIRE_TEMP_KEEP_CH02,BUS_FIRE_TEMP_KEEP_CH03,BUS_FIRE_TEMP_ANEAL_CH01,BUS_FIRE_TEMP_ANEAL_CH02,BUS_FIRE_TEMP_ANEAL_CH03
양품,41.0,120.0,88.0,115.5,196.4,213.1,59.6,94.0,99.0,44.0,138.0,77.0,102.0,290.6,445.5,37.6,91.7,92.0,23.385,60.346,60.42,59.532,23.405,30.914,34.098,2.029,2.059,575.0,585.0,603.0,575.0,545.0,520.0
양품,44.5,96.7,88.3,114.5,208.7,163.5,59.0,94.0,97.1,45.0,136.1,76.3,100.8,351.3,389.3,45.3,92.0,92.0,23.362,61.004,61.31,61.057,23.406,30.8,35.3,2.021,2.0,572.0,583.0,601.0,574.0,544.0,521.0
양품,45.8,106.3,89.0,114.8,249.2,161.8,59.2,94.0,96.0,47.0,138.0,78.0,101.5,357.0,394.0,43.7,92.0,92.5,23.462,61.0,62.6,62.1,23.383,31.111,33.891,2.026,2.052,562.0,578.0,593.0,572.0,542.0,518.0
양품,44.2,100.1,89.2,114.9,217.1,107.9,59.9,92.4,95.3,46.0,138.0,78.9,102.0,379.4,366.4,46.3,92.0,93.0,23.794,61.521,64.316,62.426,23.5,31.4,34.9,2.026,1.999,565.0,581.0,597.0,574.0,541.0,518.0
양품,45.3,104.9,89.0,115.3,170.1,147.7,58.9,92.3,95.3,45.1,138.0,78.9,102.0,333.4,391.9,45.3,93.0,93.0,23.5,61.497,61.04,60.881,23.417,30.388,31.905,2.029,2.055,573.0,584.0,601.0,571.0,543.0,520.0
양품,45.0,107.6,89.1,114.6,197.0,106.0,59.2,94.0,96.0,44.2,138.0,77.8,100.2,311.8,385.4,44.7,92.0,92.0,23.616,62.83,61.372,64.8,23.452,31.02,34.384,2.031,2.063,565.0,582.0,597.0,574.0,539.0,520.0
명점,45.2,105.8,88.4,114.6,195.0,163.3,58.8,93.6,95.6,44.3,138.0,78.3,102.0,340.5,348.5,46.8,92.0,92.0,23.471,61.446,62.157,61.515,23.4,31.018,33.248,2.03,2.0,572.0,583.0,598.0,575.0,542.0,520.0
양품,45.3,105.8,91.0,115.3,177.2,139.3,59.0,95.0,98.0,45.0,139.0,79.0,102.0,367.0,414.0,41.8,94.0,95.0,23.393,62.531,61.57,65.7,23.134,30.946,32.852,2.027,2.076,565.0,582.0,598.0,575.0,540.0,517.0
양품,44.2,102.5,89.3,114.5,209.9,154.6,58.4,93.0,96.1,46.0,138.0,77.0,103.0,393.6,326.4,42.7,92.0,92.0,23.656,60.383,60.234,60.631,23.487,30.661,33.897,2.031,2.067,569.0,585.0,601.0,575.0,542.0,519.0
양품,44.6,107.0,88.1,114.3,235.5,163.8,59.2,93.0,95.3,46.8,138.0,76.1,100.1,323.5,403.2,39.7,91.1,92.0,23.646,60.179,60.245,61.654,23.4,30.916,33.538,2.03,2.055,570.0,582.0,597.0,570.0,542.0,519.0
