LOT,JUDGE,TAT_1BLACK_1PRINT,TAT_1BLACK_2RTD,TAT_2AG_1PRINT,TAT_2AG_2RTD,TAT_2AG_3EXPOSURE,TAT_3BUS_1DEVELOP,TAT_3BUS_2FIRE,TAT_4DIELEC_FIRE,TAT_5MGO,TAT_6PHOS_1R_1DISPENSER,TAT_6PHOS_1R_2DRY,TAT_6PHOS_2G_1DISPENSER,TAT_6PHOS_2G_2DRY,TAT_6PHOS_3B_1DISPENSER,TAT_6PHOS_4FIRE,TAT_8AGING
242,0.1,88.0,219.0,84.75,70.05,154.2,371.4,6944.4,6505.05,534.5,78.5,400.05,79.8,379.8,80.5,7172.55,9977.35
243,0.25,87.4,220.0,82.4,69.65,159.2,383.2,6881.7,6501.6,539.0,76.0,384.0,77.9,380.85,81.1,7068.8,10026.15
244,0.15,89.0,216.0,84.55,71.35,166.0,368.6,7002.15,6478.35,532.0,78.8,376.8,82.9,383.1,85.3,7056.2,10025.9
245,0.0,86.8,216.5,84.7,69.65,165.4,373.2,7098.75,6493.65,534.0,81.6,411.45,84.1,368.1,84.9,7224.25,10021.9
246,0.15,86.6,218.5,82.5,70.6,156.1,373.6,6991.5,6500.25,533.5,80.4,416.85,82.4,378.3,85.6,7129.3,9944.55
247,0.0,87.8,223.5,85.85,71.15,175.5,370.2,7006.5,6504.3,534.0,79.2,399.45,83.6,377.4,83.8,7128.85,9977.55
248,0.25,87.1,217.0,85.0,70.75,170.5,365.8,6933.3,6492.45,530.5,81.1,383.4,84.8,376.65,85.2,7027.85,9994.05
249,0.2,89.2,220.5,86.15,70.85,178.3,369.0,6877.65,6624.0,531.0,83.5,419.85,78.5,369.75,84.6,7027.3,9944.95
250,0.15,87.65,222.5,84.9,71.3,176.7,360.0,6999.0,6502.65,532.5,80.1,410.4,80.5,369.9,84.4,7252.95,10001.0
251,0.1,90.1,220.5,85.7,70.55,155.8,373.4,6972.75,6631.65,533.5,80.6,390.6,80.6,364.35,83.6,7244.75,9977.3
252,0.05,88.4,218.5,84.95,70.65,175.5,363.4,6918.9,6506.4,534.5,80.5,404.85,81.6,376.2,86.8,7027.8,9960.9
253,0.2,89.6,218.0,84.75,70.0,167.0,368.6,6939.15,6519.75,527.5,80.8,397.5,82.3,385.8,83.1,7125.5,9880.05
254,0.1,87.4,217.5,85.2,71.45,175.3,365.2,6940.35,6468.6,539.5,77.0,418.35,76.5,358.2,81.0,7188.0,9977.55
255,0.1,88.1,220.5,84.5,70.2,162.5,371.6,6908.25,6492.9,532.5,72.2,432.0,73.6,376.65,76.9,7073.55,10054.7
256,0.15,88.4,217.5,84.3,71.0,149.0,368.4,6956.1,6490.65,534.5,82.0,390.0,80.1,387.15,84.1,7147.25,9973.35
257,0.15,87.75,222.5,85.2,71.3,166.5,371.4,6861.0,6489.75,533.0,80.0,394.5,81.0,373.35,85.2,7073.95,10010.1
258,0.2,87.75,220.5,84.9,71.3,160.2,376.6,7115.25,6622.05,532.5,77.0,390.75,78.3,373.2,78.8,7116.0,9999.25
259,0.05,86.45,218.5,84.7,71.7,153.9,368.0,6953.1,6495.6,535.0,81.8,393.45,82.2,378.9,83.5,7127.3,10038.1
260,0.1,87.4,221.0,82.95,70.65,161.7,371.6,6913.2,6493.95,531.5,80.4,418.05,81.8,377.55,84.9,7115.35,10021.55
261,0.25,86.6,221.5,83.8,70.75,147.8,374.4,7011.0,6543.0,533.5,81.6,432.75,82.5,375.0,84.3,7173.65,9961.5
262,0.1,87.15,219.5,84.35,70.95,157.4,368.6,6979.2,6484.5,535.0,83.0,414.45,81.0,377.55,84.7,7037.15,9973.35
263,0.1,88.15,220.0,84.3,70.0,156.4,373.0,6935.4,6503.7,533.0,84.0,404.1,83.4,382.35,84.6,7232.7,9977.5
264,0.05,87.4,219.0,84.25,71.1,154.1,371.2,6860.85,6504.3,536.0,80.3,405.3,80.7,380.85,84.8,7058.75,9989.85
265,0.05,87.9,221.5,84.6,70.75,146.5,368.6,6960.9,6534.6,528.5,79.8,432.3,81.7,382.8,84.3,6986.25,9977.2
266,0.25,87.7,218.5,85.35,70.7,170.2,364.4,6918.3,6507.0,535.0,83.3,409.35,82.1,374.85,85.0,7111.25,9961.6
267,0.1,88.3,217.0,85.05,69.6,152.4,377.0,6936.6,6502.35,534.0,74.9,425.7,79.1,380.25,81.7,7142.75,9961.05
268,0.1,87.25,220.5,83.85,71.25,159.1,366.4,6937.05,6623.85,544.0,81.4,401.85,82.8,386.25,84.9,7130.8,9945.25
269,0.1,89.05,219.5,85.2,71.45,155.7,378.4,7175.25,6495.0,533.5,75.7,392.7,77.8,377.1,81.9,7147.3,9928.65
270,0.15,85.55,221.5,83.95,70.0,149.6,370.4,6971.55,6513.45,526.0,77.4,421.05,81.8,372.15,82.9,7166.95,9993.55
271,0.1,87.65,217.5,84.55,69.9,155.4,372.4,7017.0,6487.95,532.0,81.1,393.75,79.8,370.35,85.3,7243.5,9977.7
272,0.15,88.25,218.0,85.65,72.15,155.8,376.8,7010.7,6468.0,523.0,74.7,381.15,77.5,384.9,81.0,7099.75,9993.5
273,0.15,89.1,217.0,84.65,71.7,165.1,374.4,6945.6,6492.0,531.0,80.2,384.75,81.7,371.4,84.7,7163.45,9993.45
